frame,ID,x,y
200,2,195,127
201,2,203,127
202,2,208,125
203,2,211,125
205,2,211,123
206,2,211,124
207,2,209,124
208,2,206,127
209,2,201,140
210,2,188,153
229,2,187,187
230,2,187,187
231,2,188,186
232,2,188,186
233,2,188,186
234,2,188,186
235,2,188,186
236,2,188,186
237,2,188,186
238,2,188,186
239,2,188,186
240,2,187,186
245,2,188,186
247,2,188,186
250,2,187,186
251,2,187,186
252,2,187,186
253,2,187,186
254,2,187,186
255,2,187,186
256,2,187,186
257,2,187,186
258,2,187,186
259,2,187,186
260,2,187,186
261,2,187,186
262,2,187,186
263,2,187,186
264,2,187,186
265,2,187,186
266,2,187,186
267,2,187,186
268,2,187,186
269,2,187,186
270,2,187,186
271,2,187,185
272,2,187,186
273,2,187,186
274,2,187,186
275,2,187,186
276,2,187,186
277,2,187,186
278,2,187,186
279,2,187,186
280,2,187,186
281,2,187,186
282,2,187,186
283,2,187,186
284,2,187,186
285,2,187,186
286,2,187,186
287,2,187,186
288,2,187,186
289,2,187,186
290,2,187,186
291,2,187,186
292,2,187,186
302,2,187,185
303,2,187,186
304,2,187,186
305,2,187,186
306,2,187,186
307,2,187,186
308,2,187,185
309,2,187,185
311,2,187,186
312,2,187,186
313,2,187,186
314,2,187,186
315,2,187,186
320,2,187,186
326,2,188,185
327,2,187,185
328,2,187,185
329,2,187,185
330,2,187,185
332,2,186,184
333,2,186,183
334,2,187,180
335,2,187,179
336,2,188,177
337,2,188,176
338,2,189,176
349,2,189,178
350,2,189,178
351,2,189,178
352,2,189,177
358,2,190,176
359,2,190,177
360,2,190,177
361,2,189,177
362,2,189,178
363,2,189,178
364,2,189,178
365,2,189,178
366,2,189,178
367,2,189,178
368,2,189,179
369,2,189,178
370,2,189,178
371,2,190,178
372,2,190,178
373,2,190,178
374,2,189,178
375,2,189,178
376,2,189,178
377,2,189,178
378,2,189,178
378,4,526,89
379,2,189,177
379,4,520,90
380,2,189,178
380,4,522,91
381,2,190,178
381,4,526,92
382,2,189,178
382,4,531,92
383,2,189,177
383,4,534,109
384,2,189,177
384,4,536,124
385,2,189,177
385,4,536,136
386,2,189,177
386,4,537,145
387,2,188,177
388,2,188,177
389,2,188,177
390,2,189,177
391,2,189,177
392,2,190,177
401,2,195,169
402,2,193,171
403,2,191,173
428,5,520,633
429,5,522,623
430,5,520,608
431,5,524,599
432,5,531,589
433,5,537,564
435,5,562,522
451,2,182,188
452,2,182,188
453,2,183,187
454,2,183,187
455,2,182,187
456,2,183,187
457,2,182,188
458,2,182,188
459,2,183,187
459,6,458,82
460,2,184,187
460,6,450,84
461,2,186,188
461,6,453,82
462,2,186,189
462,6,459,80
463,2,187,190
463,6,468,80
464,2,186,190
464,6,485,81
465,2,184,188
465,6,493,92
466,2,184,188
466,6,499,105
467,2,184,188
467,6,506,117
468,2,185,187
468,6,513,124
469,2,187,188
469,6,518,130
470,2,188,188
470,6,525,153
471,2,189,188
471,6,530,173
472,2,188,188
472,6,538,188
473,2,187,189
473,6,545,202
474,2,186,189
475,2,185,189
476,2,185,189
477,2,185,189
478,2,185,190
479,2,185,190
480,2,185,190
481,2,185,190
482,2,186,190
483,2,186,190
484,2,186,190
485,2,186,190
486,2,186,190
487,2,186,190
488,2,185,190
489,2,185,190
490,2,185,190
491,2,185,190
492,2,185,190
493,2,186,190
494,2,185,190
495,2,185,190
496,2,185,190
497,2,185,190
498,2,186,190
499,2,186,190
500,2,186,190
501,2,186,190
502,2,186,190
503,2,186,190
504,2,186,190
505,2,185,190
505,7,514,631
506,2,185,190
506,7,515,629
507,2,185,190
507,7,517,613
508,2,185,190
508,7,528,587
509,2,185,190
509,7,536,573
510,2,185,190
510,7,544,560
511,2,185,190
512,2,185,190
513,2,185,190
514,2,185,190
515,2,184,190
516,2,184,190
517,2,183,190
518,2,183,190
519,2,183,190
520,2,183,190
521,2,183,190
522,2,183,190
523,2,183,190
524,2,184,190
525,2,184,190
526,2,184,190
527,2,184,190
528,2,184,190
529,2,184,190
530,2,184,190
531,2,184,190
532,2,184,190
533,2,184,190
534,2,185,190
535,2,185,190
